CustomerID,recency_days,frequency_orders,monetary_revenue,frequency_orders_c,monetary_revenue_c,recency_days_c,R,F,M,RFM,segment
12435.0,80,2,7829.89,2,7829.89,80.0,2,2,5,225,At Risk (High Value)
12436.0,100,1,509.01,1,509.01,100.0,2,1,3,213,Others
12437.0,2,18,4951.41,18,4951.41,2.0,5,5,5,555,Champions
12438.0,15,2,2906.85,2,2906.85,15.0,4,2,5,425,Others
12441.0,367,1,173.55,1,173.55,367.0,1,1,1,111,Hibernating
12442.0,4,1,172.06,1,172.06,4.0,5,1,1,511,New Customers
12444.0,22,5,5005.46,5,5005.46,22.0,4,4,5,445,Champions
12445.0,23,1,133.4,1,133.4,23.0,4,1,1,411,Others
12446.0,58,1,1002.31,1,1002.31,58.0,3,1,4,314,Potential Loyalists
12447.0,244,1,476.49,1,476.49,244.0,1,1,2,112,Hibernating
12448.0,45,1,449.45,1,449.45,45.0,3,1,2,312,Potential Loyalists
12449.0,23,4,4067.29,4,4067.29,23.0,4,4,5,445,Champions
12450.0,157,2,197.88,2,197.88,157.0,2,2,1,221,Hibernating
12451.0,11,5,9035.52,5,9035.52,11.0,5,4,5,545,Champions
12452.0,17,2,430.57,2,430.57,17.0,4,2,2,422,Others
12453.0,135,1,707.09,1,707.09,135.0,2,1,3,213,Others
12454.0,57,1,3528.34,1,3528.34,57.0,3,1,5,315,Potential Loyalists
12455.0,74,6,2466.86,6,2466.86,74.0,2,4,5,245,At Risk (High Frequency)
12456.0,45,3,3181.04,3,3181.04,45.0,3,3,5,335,Others
12457.0,67,7,2363.23,7,2363.23,67.0,3,5,5,355,Others
12458.0,72,2,947.4,2,947.4,72.0,3,2,4,324,Potential Loyalists
12461.0,95,2,826.88,2,826.88,95.0,2,2,3,223,Others
12462.0,19,2,1189.59,2,1189.59,19.0,4,2,4,424,Others
12463.0,54,4,1344.78,4,1344.78,54.0,3,4,4,344,Others
12464.0,11,8,1212.05,8,1212.05,11.0,5,5,4,554,Champions
12465.0,18,2,742.19,2,742.19,18.0,4,2,3,423,Others
12468.0,188,2,729.54,2,729.54,188.0,1,2,3,123,Others
12471.0,3,30,19824.05,30,19824.05,3.0,5,5,5,555,Champions
12472.0,33,7,6572.11,7,6572.11,33.0,4,5,5,455,Champions
12473.0,30,5,3938.55,5,3938.55,30.0,4,4,5,445,Champions
12474.0,18,18,7375.79,18,7375.79,18.0,4,5,5,455,Champions
12475.0,54,1,723.38,1,723.38,54.0,3,1,3,313,Potential Loyalists
12476.0,16,11,6816.42,11,6816.42,16.0,4,5,5,455,Champions
12477.0,23,6,13219.74,6,13219.74,23.0,4,4,5,445,Champions
12478.0,4,1,680.99,1,680.99,4.0,5,1,3,513,New Customers
12479.0,12,1,527.2,1,527.2,12.0,5,1,3,513,New Customers
12480.0,29,4,3281.63,4,3281.63,29.0,4,4,5,445,Champions
12481.0,23,10,5596.32,10,5596.32,23.0,4,5,5,455,Champions
12483.0,18,8,2484.98,8,2484.98,18.0,4,5,5,455,Champions
12484.0,33,6,4541.72,6,4541.72,33.0,4,4,5,445,Champions
12488.0,10,3,1298.66,3,1298.66,10.0,5,3,4,534,Loyal Customers
12489.0,337,1,334.93,1,334.93,337.0,1,1,2,112,Hibernating
12490.0,6,10,5417.93,10,5417.93,6.0,5,5,5,555,Champions
12491.0,39,1,460.4,1,460.4,39.0,3,1,2,312,Potential Loyalists
12492.0,64,2,263.21,2,263.21,64.0,3,2,2,322,Potential Loyalists
12493.0,166,2,433.74,2,433.74,166.0,2,2,2,222,Hibernating
12494.0,16,7,1246.1,7,1246.1,16.0,4,5,4,454,Champions
12497.0,82,1,1043.1,1,1043.1,82.0,2,1,4,214,At Risk (High Value)
12498.0,22,3,403.7,3,403.7,22.0,4,3,2,432,Others
12500.0,24,11,4257.82,11,4257.82,24.0,4,5,5,455,Champions
12501.0,337,1,2169.39,1,2169.39,337.0,1,1,5,115,At Risk (High Value)
12502.0,96,5,3723.87,5,3723.87,96.0,2,4,5,245,At Risk (High Frequency)
12504.0,19,2,482.05,2,482.05,19.0,4,2,2,422,Others
12506.0,233,1,73.5,1,73.5,233.0,1,1,1,111,Hibernating
12507.0,135,3,1304.81,3,1304.81,135.0,2,3,4,234,At Risk (High Value)
12508.0,27,2,398.27,2,398.27,27.0,4,2,2,422,Others
12509.0,285,1,176.5,1,176.5,285.0,1,1,1,111,Hibernating
12510.0,143,2,982.57,2,982.57,143.0,2,2,4,224,At Risk (High Value)
12512.0,67,2,138.03,2,138.03,67.0,3,2,1,321,Potential Loyalists
12513.0,113,1,612.29,1,612.29,113.0,2,1,3,213,Others
12514.0,268,1,1017.68,1,1017.68,268.0,1,1,4,114,At Risk (High Value)
12515.0,354,1,383.7,1,383.7,354.0,1,1,2,112,Hibernating
12516.0,78,2,1312.06,2,1312.06,78.0,2,2,4,224,At Risk (High Value)
12517.0,29,5,2502.84,5,2502.84,29.0,4,4,5,445,Champions
12518.0,1,5,2056.89,5,2056.89,1.0,5,4,4,544,Champions
12519.0,64,1,340.84,1,340.84,64.0,3,1,2,312,Potential Loyalists
12520.0,80,5,2634.26,5,2634.26,80.0,2,4,5,245,At Risk (High Frequency)
12521.0,143,1,599.68,1,599.68,143.0,2,1,3,213,Others
12522.0,40,2,192.72,2,192.72,40.0,3,2,1,321,Potential Loyalists
12523.0,20,11,1789.77,11,1789.77,20.0,4,5,4,454,Champions
12524.0,10,8,4485.72,8,4485.72,10.0,5,5,5,555,Champions
12526.0,1,3,1316.66,3,1316.66,1.0,5,3,4,534,Loyal Customers
12527.0,82,3,348.71,3,348.71,82.0,2,3,2,232,Others
12528.0,10,6,1933.48,6,1933.48,10.0,5,5,4,554,Champions
12530.0,60,4,1662.28,4,1662.28,60.0,3,4,4,344,Others
12531.0,15,1,125.22,1,125.22,15.0,4,1,1,411,Others
12532.0,31,1,349.83,1,349.83,31.0,4,1,2,412,Others
12534.0,131,1,1089.18,1,1089.18,131.0,2,1,4,214,At Risk (High Value)
12535.0,92,2,716.35,2,716.35,92.0,2,2,3,223,Others
12536.0,44,3,12601.83,3,12601.83,44.0,3,3,5,335,Others
12538.0,30,1,363.95,1,363.95,30.0,4,1,2,412,Others
12539.0,23,4,5568.35,4,5568.35,23.0,4,4,5,445,Champions
12540.0,20,17,13400.24,17,13400.24,20.0,4,5,5,455,Champions
12541.0,30,3,981.18,3,981.18,30.0,4,3,4,434,Loyal Customers
12544.0,37,1,372.7,1,372.7,37.0,3,1,2,312,Potential Loyalists
12545.0,76,2,1000.39,2,1000.39,76.0,2,2,4,224,At Risk (High Value)
12546.0,47,2,1161.5,2,1161.5,47.0,3,2,4,324,Potential Loyalists
12547.0,198,2,207.8,2,207.8,198.0,1,2,1,121,Hibernating
12548.0,167,1,95.2,1,95.2,167.0,2,1,1,211,Hibernating
12550.0,80,1,964.83,1,964.83,80.0,2,1,4,214,At Risk (High Value)
12551.0,358,1,168.0,1,168.0,358.0,1,1,1,111,Hibernating
12552.0,39,2,437.82,2,437.82,39.0,3,2,2,322,Potential Loyalists
12553.0,9,10,3692.28,10,3692.28,9.0,5,5,5,555,Champions
12556.0,51,2,603.71,2,603.71,51.0,3,2,3,323,Potential Loyalists
12557.0,17,5,11990.96,5,11990.96,17.0,4,4,5,445,Champions
12558.0,8,1,269.96,1,269.96,8.0,5,1,2,512,New Customers
12559.0,311,2,561.71,2,561.71,311.0,1,2,3,123,Others
12560.0,6,3,2134.01,3,2134.01,6.0,5,3,5,535,Loyal Customers
12561.0,303,1,238.85,1,238.85,303.0,1,1,1,111,Hibernating
12562.0,9,7,3781.74,7,3781.74,9.0,5,5,5,555,Champions
12564.0,262,1,456.9,1,456.9,262.0,1,1,2,112,Hibernating
12565.0,289,1,145.92,1,145.92,289.0,1,1,1,111,Hibernating
12566.0,87,1,351.65,1,351.65,87.0,2,1,2,212,Hibernating
12567.0,23,10,9401.28,10,9401.28,23.0,4,5,5,455,Champions
12569.0,3,32,4124.69,30,4124.69,3.0,5,5,5,555,Champions
12571.0,40,2,519.61,2,519.61,40.0,3,2,3,323,Potential Loyalists
12572.0,9,2,1020.42,2,1020.42,9.0,5,2,4,524,New Customers
12573.0,228,1,160.54,1,160.54,228.0,1,1,1,111,Hibernating
12574.0,316,1,218.45,1,218.45,316.0,1,1,1,111,Hibernating
12576.0,36,5,1315.83,5,1315.83,36.0,3,4,4,344,Others
12577.0,36,3,657.8,3,657.8,36.0,3,3,3,333,Others
12578.0,22,2,2794.51,2,2794.51,22.0,4,2,5,425,Others
12579.0,79,1,440.42,1,440.42,79.0,2,1,2,212,Hibernating
12580.0,247,1,415.7,1,415.7,247.0,1,1,2,112,Hibernating
12581.0,40,1,197.71,1,197.71,40.0,3,1,1,311,Potential Loyalists
12582.0,239,2,511.36,2,511.36,239.0,1,2,3,123,Others
12583.0,3,15,7281.38,15,7281.38,3.0,5,5,5,555,Champions
12584.0,4,9,2338.15,9,2338.15,4.0,5,5,5,555,Champions
12585.0,235,2,2040.1,2,2040.1,235.0,1,2,4,124,At Risk (High Value)
12586.0,18,1,196.94,1,196.94,18.0,4,1,1,411,Others
12587.0,8,1,144.0,1,144.0,8.0,5,1,1,511,New Customers
12588.0,40,1,214.9,1,214.9,40.0,3,1,1,311,Potential Loyalists
12589.0,29,2,646.68,2,646.68,29.0,4,2,3,423,Others
12590.0,212,2,9864.26,2,9864.26,212.0,1,2,5,125,At Risk (High Value)
12591.0,318,1,452.85,1,452.85,318.0,1,1,2,112,Hibernating
12592.0,93,2,437.6,2,437.6,93.0,2,2,2,222,Hibernating
12593.0,109,3,418.1,3,418.1,109.0,2,3,2,232,Others
12594.0,38,10,3338.22,10,3338.22,38.0,3,5,5,355,Others
12596.0,52,2,618.27,2,618.27,52.0,3,2,3,323,Potential Loyalists
12597.0,20,4,3811.22,4,3811.22,20.0,4,4,5,445,Champions
12598.0,10,8,3023.08,8,3023.08,10.0,5,5,5,555,Champions
12599.0,30,7,1032.58,7,1032.58,30.0,4,5,4,454,Champions
12600.0,29,10,2599.04,10,2599.04,29.0,4,5,5,455,Champions
12601.0,190,5,577.06,5,577.06,190.0,1,4,3,143,At Risk (High Frequency)
12602.0,59,1,153.12,1,153.12,59.0,3,1,1,311,Potential Loyalists
12603.0,22,1,739.2,1,739.2,22.0,4,1,3,413,Others
12604.0,80,2,254.18,2,254.18,80.0,2,2,2,222,Hibernating
12607.0,61,1,1579.51,1,1579.51,61.0,3,1,4,314,Potential Loyalists
12609.0,79,3,1126.85,3,1126.85,79.0,2,3,4,234,At Risk (High Value)
12610.0,23,5,2099.54,5,2099.54,23.0,4,4,5,445,Champions
12611.0,53,1,1193.32,1,1193.32,53.0,3,1,4,314,Potential Loyalists
12612.0,75,1,704.04,1,704.04,75.0,2,1,3,213,Others
12613.0,58,5,3344.38,5,3344.38,58.0,3,4,5,345,Others
12614.0,278,1,315.6,1,315.6,278.0,1,1,2,112,Hibernating
12615.0,3,4,2291.19,4,2291.19,3.0,5,4,5,545,Champions
12616.0,96,2,713.3,2,713.3,96.0,2,2,3,223,Others
12617.0,30,1,355.53,1,355.53,30.0,4,1,2,412,Others
12618.0,22,1,177.31,1,177.31,22.0,4,1,1,411,Others
12619.0,17,9,3641.24,9,3641.24,17.0,4,5,5,455,Champions
12620.0,15,3,1339.41,3,1339.41,15.0,4,3,4,434,Loyal Customers
12621.0,2,20,13689.67,20,13689.67,2.0,5,5,5,555,Champions
12622.0,233,1,180.1,1,180.1,233.0,1,1,1,111,Hibernating
12623.0,277,1,305.1,1,305.1,277.0,1,1,2,112,Hibernating
12624.0,107,2,641.13,2,641.13,107.0,2,2,3,223,Others
12625.0,212,2,2683.82,2,2683.82,212.0,1,2,5,125,At Risk (High Value)
12626.0,24,9,6620.48,9,6620.48,24.0,4,5,5,455,Champions
12627.0,11,7,4478.53,7,4478.53,11.0,5,5,5,555,Champions
12628.0,5,3,786.46,3,786.46,5.0,5,3,3,533,Loyal Customers
12630.0,10,2,1270.88,2,1270.88,10.0,5,2,4,524,New Customers
12631.0,58,1,640.5,1,640.5,58.0,3,1,3,313,Potential Loyalists
12633.0,59,4,2163.98,4,2163.98,59.0,3,4,5,345,Others
12635.0,90,2,1689.18,2,1689.18,90.0,2,2,4,224,At Risk (High Value)
12637.0,68,8,6021.9,8,6021.9,68.0,3,5,5,355,Others
12638.0,34,1,671.69,1,671.69,34.0,3,1,3,313,Potential Loyalists
12639.0,239,1,486.1,1,486.1,239.0,1,1,2,112,Hibernating
12640.0,24,3,1174.58,3,1174.58,24.0,4,3,4,434,Loyal Customers
12641.0,116,1,185.9,1,185.9,116.0,2,1,1,211,Hibernating
12642.0,26,3,1013.26,3,1013.26,26.0,4,3,4,434,Loyal Customers
12643.0,129,6,3344.64,6,3344.64,129.0,2,5,5,255,At Risk (High Frequency)
12644.0,130,1,477.91,1,477.91,130.0,2,1,2,212,Hibernating
12645.0,34,4,1775.18,4,1775.18,34.0,3,4,4,344,Others
12646.0,5,2,1346.97,2,1346.97,5.0,5,2,4,524,New Customers
12647.0,23,12,3722.82,12,3722.82,23.0,4,5,5,455,Champions
12648.0,155,1,318.05,1,318.05,155.0,2,1,2,212,Hibernating
12649.0,108,3,623.51,3,623.51,108.0,2,3,3,233,Others
12650.0,4,1,314.44,1,314.44,4.0,5,1,2,512,New Customers
12651.0,335,1,114.0,1,114.0,335.0,1,1,1,111,Hibernating
12652.0,332,1,919.98,1,919.98,332.0,1,1,3,113,Others
12653.0,149,2,2209.85,2,2209.85,149.0,2,2,5,225,At Risk (High Value)
12654.0,11,5,601.98,5,601.98,11.0,5,4,3,543,Loyal Customers
12656.0,18,5,4051.17,5,4051.17,18.0,4,4,5,445,Champions
12657.0,12,4,1643.18,4,1643.18,12.0,5,4,4,544,Champions
12658.0,19,1,686.05,1,686.05,19.0,4,1,3,413,Others
12659.0,30,1,91.68,1,91.68,30.0,4,1,1,411,Others
12660.0,12,1,245.1,1,245.1,12.0,5,1,1,511,New Customers
12662.0,1,11,3849.78,11,3849.78,1.0,5,5,5,555,Champions
12664.0,9,9,4881.88,9,4881.88,9.0,5,5,5,555,Champions
12665.0,325,1,63.0,1,63.0,325.0,1,1,1,111,Hibernating
12667.0,59,1,620.13,1,620.13,59.0,3,1,3,313,Potential Loyalists
12668.0,12,4,3807.15,4,3807.15,12.0,5,4,5,545,Champions
12669.0,151,3,2744.03,3,2744.03,151.0,2,3,5,235,At Risk (High Value)
12670.0,11,5,2996.05,5,2996.05,11.0,5,4,5,545,Champions
12672.0,330,1,225.9,1,225.9,330.0,1,1,1,111,Hibernating
12673.0,6,2,610.52,2,610.52,6.0,5,2,3,523,New Customers
12674.0,39,4,1970.6,4,1970.6,39.0,3,4,4,344,Others
12676.0,25,6,1331.39,6,1331.39,25.0,4,5,4,454,Champions
12678.0,43,12,17628.46,12,17628.46,43.0,3,5,5,355,Others
12679.0,59,4,1113.02,4,1113.02,59.0,3,4,4,344,Others
12680.0,1,4,862.81,4,862.81,1.0,5,4,3,543,Loyal Customers
12681.0,15,22,13787.54,22,13787.54,15.0,4,5,5,455,Champions
12682.0,4,31,12288.22,30,12288.22,4.0,5,5,5,555,Champions
12683.0,5,15,8476.57,15,8476.57,5.0,5,5,5,555,Champions
12684.0,8,7,2283.63,7,2283.63,8.0,5,5,5,555,Champions
12685.0,29,6,2863.08,6,2863.08,29.0,4,5,5,455,Champions
12686.0,372,1,89.14,1,89.14,369.6300000000001,1,1,1,111,Hibernating
12688.0,114,1,4873.81,1,4873.81,114.0,2,1,5,215,At Risk (High Value)
12689.0,26,2,1247.61,2,1247.61,26.0,4,2,4,424,Others
12690.0,206,1,389.01,1,389.01,206.0,1,1,2,112,Hibernating
12691.0,29,6,1035.8,6,1035.8,29.0,4,5,4,454,Champions
12693.0,128,4,855.91,4,855.91,128.0,2,4,3,243,At Risk (High Frequency)
12694.0,71,2,869.67,2,869.67,71.0,3,2,3,323,Potential Loyalists
12695.0,8,4,582.1,4,582.1,8.0,5,4,3,543,Loyal Customers
12697.0,29,3,957.59,3,957.59,29.0,4,3,4,434,Loyal Customers
12700.0,8,4,4939.99,4,4939.99,8.0,5,4,5,545,Champions
12701.0,80,2,797.71,2,797.71,80.0,2,2,3,223,Others
12702.0,20,1,219.0,1,219.0,20.0,4,1,1,411,Others
12703.0,72,1,283.55,1,283.55,72.0,3,1,2,312,Potential Loyalists
12704.0,8,8,2340.84,8,2340.84,8.0,5,5,5,555,Champions
12705.0,16,9,6868.29,9,6868.29,16.0,4,5,5,455,Champions
12707.0,292,1,603.42,1,603.42,292.0,1,1,3,113,Others
12708.0,30,10,2712.91,10,2712.91,30.0,4,5,5,455,Champions
12709.0,16,15,9736.52,15,9736.52,16.0,4,5,5,455,Champions
12710.0,97,3,1149.02,3,1149.02,97.0,2,3,4,234,At Risk (High Value)
12712.0,29,13,4396.13,13,4396.13,29.0,4,5,5,455,Champions
12713.0,1,1,848.55,1,848.55,1.0,5,1,3,513,New Customers
12714.0,10,5,4708.86,5,4708.86,10.0,5,4,5,545,Champions
12715.0,107,1,353.86,1,353.86,107.0,2,1,2,212,Hibernating
12716.0,4,2,1053.49,2,1053.49,4.0,5,2,4,524,New Customers
12717.0,152,2,1030.98,2,1030.98,152.0,2,2,4,224,At Risk (High Value)
12718.0,72,1,238.25,1,238.25,72.0,3,1,1,311,Potential Loyalists
12719.0,6,2,644.95,2,644.95,6.0,5,2,3,523,New Customers
12720.0,3,25,5781.73,25,5781.73,3.0,5,5,5,555,Champions
12721.0,32,6,2656.13,6,2656.13,32.0,4,5,5,455,Champions
12722.0,86,4,997.63,4,997.63,86.0,2,4,4,244,At Risk (High Frequency)
12723.0,4,5,725.07,5,725.07,4.0,5,4,3,543,Loyal Customers
12724.0,6,4,1031.41,4,1031.41,6.0,5,4,4,544,Champions
12725.0,372,1,427.8,1,427.8,369.6300000000001,1,1,2,112,Hibernating
12726.0,29,7,2609.1,7,2609.1,29.0,4,5,5,455,Champions
12727.0,11,7,3980.7,7,3980.7,11.0,5,5,5,555,Champions
12728.0,72,4,836.33,4,836.33,72.0,3,4,3,343,Others
12729.0,114,1,453.01,1,453.01,114.0,2,1,2,212,Hibernating
12731.0,24,12,18895.91,12,18895.91,24.0,4,5,5,455,Champions
12732.0,180,1,236.26,1,236.26,180.0,2,1,1,211,Hibernating
12733.0,235,1,383.95,1,383.95,235.0,1,1,2,112,Hibernating
12734.0,353,1,110.4,1,110.4,353.0,1,1,1,111,Hibernating
12735.0,316,2,779.57,2,779.57,316.0,1,2,3,123,Others
12736.0,333,1,234.0,1,234.0,333.0,1,1,1,111,Hibernating
12738.0,373,1,155.35,1,155.35,369.6300000000001,1,1,1,111,Hibernating
12739.0,79,2,1013.04,2,1013.04,79.0,2,2,4,224,At Risk (High Value)
12740.0,64,1,427.6,1,427.6,64.0,3,1,2,312,Potential Loyalists
12743.0,135,2,546.43,2,546.43,135.0,2,2,3,223,Others
12744.0,52,7,21279.29,7,19880.99570000001,52.0,3,5,5,355,Others
12747.0,3,11,4196.01,11,4196.01,3.0,5,5,5,555,Champions
12748.0,1,209,33719.73,30,19880.99570000001,1.0,5,5,5,555,Champions
12749.0,4,5,4090.88,5,4090.88,4.0,5,4,5,545,Champions
12750.0,129,1,275.88,1,275.88,129.0,2,1,2,212,Hibernating
12752.0,82,1,4366.78,1,4366.78,82.0,2,1,5,215,At Risk (High Value)
12753.0,23,6,21429.39,6,19880.99570000001,23.0,4,5,5,455,Champions
12754.0,236,3,3010.74,3,3010.74,236.0,1,3,5,135,At Risk (High Value)
12755.0,281,2,3811.95,2,3811.95,281.0,1,2,5,125,At Risk (High Value)
12756.0,87,1,112.08,1,112.08,87.0,2,1,1,211,Hibernating
12757.0,16,13,7857.1,13,7857.1,16.0,4,5,5,455,Champions
12758.0,117,2,2791.59,2,2791.59,117.0,2,2,5,225,At Risk (High Value)
12759.0,53,3,1531.44,3,1531.44,53.0,3,3,4,334,Others
12762.0,8,2,1898.52,2,1898.52,8.0,5,2,4,524,New Customers
12763.0,139,2,494.08,2,494.08,139.0,2,2,3,223,Others
12764.0,317,1,1693.88,1,1693.88,317.0,1,1,4,114,At Risk (High Value)
12766.0,4,7,6989.63,7,6989.63,4.0,5,5,5,555,Champions
12769.0,239,1,1143.6,1,1143.6,239.0,1,1,4,114,At Risk (High Value)
12770.0,211,1,1351.45,1,1351.45,211.0,1,1,4,114,At Risk (High Value)
12772.0,60,1,892.47,1,892.47,60.0,3,1,3,313,Potential Loyalists
12775.0,18,5,1386.04,5,1386.04,18.0,4,4,4,444,Champions
12778.0,20,6,822.23,6,822.23,20.0,4,5,3,453,Loyal Customers
12779.0,38,8,3981.36,8,3981.36,38.0,3,5,5,355,Others
12781.0,64,2,826.74,2,826.74,64.0,3,2,3,323,Potential Loyalists
12782.0,5,5,2330.92,5,2330.92,5.0,5,4,5,545,Champions
12783.0,3,6,2225.91,6,2225.91,3.0,5,5,5,555,Champions
12784.0,10,2,574.42,2,574.42,10.0,5,2,3,523,New Customers
12785.0,365,1,311.95,1,311.95,365.0,1,1,2,112,Hibernating
12787.0,10,3,463.66,3,463.66,10.0,5,3,2,532,Others
12789.0,66,1,91.85,1,91.85,66.0,3,1,1,311,Potential Loyalists
12790.0,193,1,324.92,1,324.92,193.0,1,1,2,112,Hibernating
12791.0,374,1,192.6,1,192.6,369.6300000000001,1,1,1,111,Hibernating
12792.0,257,1,400.54,1,400.54,257.0,1,1,2,112,Hibernating
12793.0,335,2,545.48,2,545.48,335.0,1,2,3,123,Others
12794.0,54,2,860.41,2,860.41,54.0,3,2,3,323,Potential Loyalists
12795.0,19,1,430.48,1,430.48,19.0,4,1,2,412,Others
12797.0,366,1,254.03,1,254.03,366.0,1,1,2,112,Hibernating
12798.0,11,3,6977.04,3,6977.04,11.0,5,3,5,535,Loyal Customers
12802.0,187,1,427.58,1,427.58,187.0,1,1,2,112,Hibernating
12808.0,37,3,483.65,3,483.65,37.0,3,3,2,332,Others
12809.0,178,1,489.31,1,489.31,178.0,2,1,2,212,Hibernating
12811.0,261,3,514.85,3,514.85,261.0,1,3,3,133,Others
